"Timestamp","Please rate how life-like the robots are (10 being very life-like, 1 being not life-like at all)","How intelligent do these robots appear (10 being very intelligent, 1 being not intelligent at all)?","Please rate the level of interesting behavior that these robots are displaying(10 being very interesting, 1 being not interesting at all)"
"2021/03/08 8:32:14 PM AST","6","2","5"
"2021/03/08 8:41:09 PM AST","6","7","9"
"2021/03/08 8:44:55 PM AST","6","2","3"
"2021/03/08 8:50:02 PM AST","3","2","4"
"2021/03/08 8:57:06 PM AST","2","3","4"
"2021/03/08 9:19:08 PM AST","8","4","7"
"2021/03/08 10:13:11 PM AST","6","7","9"
"2021/03/09 9:24:54 AM AST","4","2","5"
"2021/03/09 9:25:23 AM AST","2","3","4"
"2021/03/09 9:31:51 AM AST","4","4","7"
"2021/03/09 9:42:30 AM AST","1","2","2"
"2021/03/09 9:43:14 AM AST","8","6","6"
"2021/03/09 9:47:06 AM AST","4","5","9"
"2021/03/09 10:16:42 AM AST","2","2","7"
"2021/03/09 10:59:04 AM AST","3","3","5"
"2021/03/09 11:28:26 AM AST","7","3","8"
"2021/03/09 11:30:00 AM AST","2","2","5"
"2021/03/09 12:17:14 PM AST","8","5","9"
"2021/03/09 2:10:50 PM AST","1","3","5"
"2021/03/09 2:27:17 PM AST","2","4","7"
"2021/03/09 3:44:43 PM AST","5","8","10"
"2021/03/09 4:32:41 PM AST","5","2","5"
"2021/03/09 7:18:11 PM AST","5","8","10"
"2021/03/09 7:40:26 PM AST","7","7","8"
"2021/03/09 7:40:54 PM AST","6","4","5"
"2021/03/09 11:16:04 PM AST","3","3","1"
"2021/03/10 10:00:33 AM AST","2","2","2"
"2021/03/10 10:26:56 AM AST","2","2","3"
"2021/03/10 10:30:33 AM AST","1","3","2"
"2021/03/10 10:30:58 AM AST","5","7","2"
"2021/03/10 10:31:35 AM AST","2","2","2"
"2021/03/10 10:50:43 AM AST","3","3","8"
"2021/03/10 11:11:53 AM AST","5","5","3"
"2021/03/10 12:26:34 PM AST","2","4","1"
"2021/03/10 3:35:24 PM AST","3","6","9"
"2021/03/10 4:35:31 PM AST","5","4","4"
"2021/03/10 7:37:47 PM AST","2","1","10"
"2021/03/11 9:14:00 AM AST","8","4","6"